Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xA,A-xA,KP,Last_Third,PPA,CrsPA,Prog,Att,Pass_Types_Live,Pass_Types_Dead,Pass_Types_FK,Pass_Types_TB,Pass_Types_Press,Pass_Types_Sw,Pass_Types_Crs,Pass_Types_CK,Corner_Kicks_In,Corner_Kicks_Out,Corner_Kicks_Str,Height_Ground,Height_Low,Height_High,Body_Parts_Left,Body_Parts_Right,Body_Parts_Head,Body_Parts_TI,Body_Parts_Other,Outcomes_Cmp,Outcomes_Off,Outcomes_Out,Outcomes_Int,Outcomes_Blocks,Touches_Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Touches_Live,Dribbles_Succ,Dribbles_Att,Dribbles_Succ%,Dribbles_#Pl,Dribbles_Megs,Carries_Carries,Carries_TotDist,Carries_PrgDist,Receiving_Targ,Receiving_Rec,Receiving_Rec_Pct,Miscon,Dispos
Francesco Cassata,it ITA,MF,Genoa,it Serie A,22,1997,12.4,33.3,42.3,78.7,558.2,153.6,0.97,2.74,35.3,26.5,30.4,87.3,5.81,9.19,63.2,0,0.07,-0.07,0.4,1.77,1.13,0.24,3.71,42.3,41.3,1.05,0.48,0,9.84,1.29,1.53,0,0,0,0,29.3,6.29,6.77,2.66,37.7,0.65,0.56,0.16,33.3,0.24,0.81,0.56,1.94,52.8,2.18,13.9,26.2,16.9,1.21,51.8,1.29,2.26,57.1,1.37,2,40.7,251.6,140.2,44.8,477,85.8,0.97,1.61
Francesco Magnanelli,it ITA,MF,Sassuolo,it Serie A,34,1984,10.6,70.2,79.2,88.7,1301.9,301.4,0.85,1.51,56.3,54.6,58.9,92.8,14.7,18.8,78.4,0,0.03,-0.03,1.04,6.32,0.94,0,5.47,79.2,74.5,4.62,4.53,0,19.3,2.55,0.28,0,0,0,0,57.2,10,12,7.74,68.3,2.17,0,0.09,70.2,0.28,0.75,1.13,0.57,87.8,4.46,21.2,55.4,15.2,0.27,83.4,0.63,0.63,100,0.63,0,59.7,249.5,113,63.7,688,96.5,0.36,0.63
Francis Coquelin,fr FRA,MF,Valencia,es La Liga,28,1991,17.7,43.1,47.9,89.9,842.8,174.1,0.62,1.02,61.1,32.7,34.5,94.6,9.77,12.4,79,0,0.01,-0.01,0.23,4.24,0.4,0,2.82,47.9,46.6,1.3,1.19,0,7.34,2.15,0.06,0,0,0,0,35.8,5.03,7.12,6.89,38.6,1.53,0.11,0.11,43.1,0.06,1.02,0.68,0.34,57.6,3.16,16.7,35.9,8.08,0.9,56.4,0.9,1.3,69.6,0.9,0,41,182.8,83.8,42,703,94.5,0.96,1.19
Franck Kessié,ci CIV,MF,Milan,it Serie A,22,1996,21.5,42.4,47.9,88.4,771.1,171.1,0.65,1.35,48.3,33.6,36.9,91.2,8.09,9.67,83.7,0.05,0.07,-0.03,1.02,4.42,0.79,0.19,3.63,47.9,47.2,0.74,0.42,0.05,6.56,0.93,0.42,0,0,0,0,36.9,6.7,4.33,8.28,37.7,1.3,0.23,0.23,42.4,0.09,0.6,0.93,0.79,57.9,1.91,10.6,34,16.9,3.21,57.2,0.93,1.49,62.5,0.98,1,42.2,242.4,115,47.1,895,88.4,1.02,1.67
Fred,br BRA,MF,Manchester Utd,eng Premier League,26,1993,23.2,59.6,70.1,85,1197.2,296.3,0.91,2.28,39.6,42.6,46.9,90.7,16.1,20.9,77.1,0,0.12,-0.12,1.55,6.38,0.56,0.13,6.21,70.1,65.6,4.48,2.2,0.13,14.7,3.41,2.72,1.81,0.65,0.69,0,50.3,9.31,10.4,49.1,19.1,1.16,0.34,0.22,59.6,0.09,0.78,0.86,1.59,83.5,2.89,19.4,49.7,20.3,0.99,79.6,1.64,2.11,77.6,1.77,4,60.6,319.1,162.5,60.3,1318,94.3,1.12,1.72
Frenkie de Jong,nl NED,MF,Barcelona,es La Liga,22,1997,23,63.9,69.1,92.5,1077.8,248.5,1.3,2.35,55.6,52.3,55.4,94.4,10.3,11.3,90.4,0.09,0.1,-0.01,0.96,6.39,0.83,0.09,4.74,69.1,67.9,1.22,0.61,0.35,13.4,1.22,0.17,0.04,0,0,0,56.6,8.04,4.48,3.52,63.3,1.43,0.57,0.13,63.9,0.22,0.39,1.09,0.87,76.6,1.57,15.3,47.3,22.8,1.78,75.7,1.52,2.17,70,1.61,1,63.2,402.7,218.5,69,1454,91.6,0.87,1.09
Gaetano Castrovilli,it ITA,MF,Fiorentina,it Serie A,22,1997,23.4,30.1,37.7,79.8,507.4,144.1,0.9,2.18,41.2,24.7,28.4,86.9,4.53,7.14,63.5,0.09,0.1,-0.02,1.2,3.76,1.11,0.21,4.1,37.7,36,1.71,0.77,0.13,8.29,1.11,1.37,0.26,0.09,0.04,0.09,27.9,4.96,4.87,4.91,31.5,0.56,0.3,0.13,30.1,0.13,0.9,0.85,1.37,53.3,1.28,9.74,28.2,22,4.27,51.9,3.5,4.91,71.3,3.72,0,44.5,382.5,236.1,44.3,866,83.5,2.09,2.39
Gary Medel,cl CHI,MF,Bologna,it Serie A,31,1987,11.7,50.6,56.1,90.2,1004.4,267.6,0.43,0.94,45.5,36.8,39.8,92.5,13.3,15.3,87.2,0,0.03,-0.03,0.6,5.38,0.09,0,4.53,56.1,52.9,3.16,2.14,0.09,7.26,0.94,0.09,0,0,0,0,39.2,8.55,8.29,5.73,44.8,3.25,0.94,0.26,50.6,0.09,0.26,0.34,0.6,65.5,4.79,20.2,40.9,7.44,0,62.5,0.51,0.68,75,0.6,0,37.8,198.6,107.4,41.2,457,94.8,0.34,0.34
Gastón Brugman,uy URU,MF,Parma,it Serie A,26,1992,11.6,31.1,38.1,81.7,673,201,0.69,1.47,47.1,20.3,23.6,86.1,10.1,13,77.5,0.09,0.07,0.02,0.78,3.53,0.43,0.09,3.88,38.1,35.3,2.84,1.9,0.17,7.5,1.38,0.95,0.52,0.34,0.17,0,24.7,6.29,7.07,5.86,30.4,1.03,0.17,0.26,31.1,0.09,0.17,1.29,0.69,47.9,4.4,16,26.1,8.53,0.26,45.3,0.43,0.78,55.6,0.6,0,28.2,152.6,85.2,27.1,284,90.4,0.17,0.86
Geoffrey Kondogbia,cf CTA,MF,Valencia,es La Liga,26,1993,15.1,44.2,52.6,84,909.8,191.3,0.86,0.99,86.7,31.1,35.6,87.3,12.3,16,76.4,0,0.01,-0.01,0.26,3.71,0.13,0,3.71,52.6,50.9,1.72,1.72,0.07,11.1,2.72,0,0,0,0,0,38.3,4.77,9.54,41.7,6.95,2.65,0,0.26,44.2,0.33,0.93,0.79,0.26,65.6,5.03,22,42.4,5.76,0.46,64.1,0.6,0.79,75,0.6,0,42.6,265,119,44.1,630,94.6,0.6,0.93
Georginio Wijnaldum,nl NED,MF,Liverpool,eng Premier League,28,1990,26.1,44,48.4,90.9,752.5,135.6,0.8,1.61,50,36.7,39.3,93.4,6.55,7.55,86.8,0,0.04,-0.04,0.46,3.95,0.73,0,3.07,48.4,47.6,0.84,0.42,0.15,9.08,0.96,0.11,0,0,0,0,38.4,5.9,4.14,5.17,40.2,1.53,0.42,0.19,44,0.04,0.27,0.54,0.73,58.2,1.22,8.71,36.3,16.8,2.44,57.3,1.55,2.44,63.6,1.59,4,45.8,242.7,108,49.3,1165,87.3,1.07,1.33
Gonzalo Escalante,ar ARG,MF,Eibar,es La Liga,26,1993,17.6,26,35.9,72.3,488.1,133.4,0.34,1.7,20,19.9,24.7,80.7,5.68,9.49,59.9,0.06,0.03,0.02,0.45,2.56,0.63,0.11,3.69,35.9,34.9,1.02,0.4,0,7.61,1.08,0.85,0,0,0,0,18,7.78,10.2,2.78,24.9,5.51,0.63,0.11,26,0.23,1.25,0.4,1.42,46.4,1.65,7.27,28.7,12.6,1.87,45.3,1.02,1.36,75,1.19,0,23.4,120.9,52.1,28.3,419,84.1,0.74,0.74
Gonzalo Melero,es ESP,MF,Levante,es La Liga,25,1994,11.3,33.8,40.4,83.6,552.7,149.9,0.97,2.04,47.8,28.2,31.9,88.6,4.6,6.55,70.3,0.09,0.06,0.03,0.71,2.57,0.8,0,3.98,40.4,39.2,1.24,0.71,0.27,6.64,0.8,0.18,0,0,0,0,29.1,6.55,4.78,3.54,33.1,2.39,0.09,0.35,33.8,0.27,0.71,0.35,0.88,51.9,2.39,13.5,30.2,10.7,2.12,50.9,0.8,1.59,50,0.97,2,33.5,160.2,84.2,41.6,402,85.5,1.24,1.24
Granit Xhaka,ch SUI,MF,Arsenal,eng Premier League,26,1992,21.2,60.6,68.7,88.2,1274.8,334.7,0.52,1.23,42.3,43.1,46.9,91.9,17,20.6,82.6,0.05,0.04,0,0.57,7.12,0.9,0.09,6.7,68.7,66.1,2.64,2.12,0.14,14.4,2.97,0.61,0,0,0,0,48.2,10.6,9.91,54.1,10.4,2.59,0.52,0.14,60.6,0.28,0.57,0.71,0.85,78.3,4.58,23.7,48.3,10.9,0.66,76.2,0.94,1.13,83.3,0.94,1,56.8,266.8,133.9,59.4,1201,95.3,0.19,0.47
Gylfi Sigurðsson,is ISL,MF,Everton,eng Premier League,29,1989,22.5,28.1,37.2,75.4,539.2,176.7,0.53,1.42,37.5,20.8,24.5,85,6.71,11.3,59.4,0.09,0.16,-0.07,1.82,2.98,1.02,0.22,5.16,37.2,32.1,5.16,1.64,0.09,6.09,1.82,5.24,2.8,1.07,1.47,0.18,22.2,6.76,8.31,5.47,29.4,1.33,0.13,0.27,28.1,0.09,0.84,0.49,1.29,48.1,1.17,7.22,23.5,19,2.09,43,0.83,1.35,61.3,0.96,2,27.6,126.1,51.9,33.2,634,83,1.13,1.26
Habib Maïga,ci CIV,MF,Metz,fr Ligue 1,23,1996,25.2,42,51.9,80.9,807.8,187.2,0.6,1.87,31.9,31.9,36.2,88.2,9.52,13.9,68.6,0.08,0.04,0.04,0.4,3.89,0.63,0.2,3.97,51.9,51.1,0.87,0.63,0.08,9.92,1.79,2.06,0,0,0,0,37.7,6.51,7.74,4.6,43.9,1.94,0.16,0.36,42,0.24,0.95,0.79,1.35,65.4,2.02,16.2,41.7,12.6,1.19,64.6,1.43,1.9,75,1.43,0,46.5,290.4,138.5,47.4,1092,91.5,1.31,1.31
Haris Belkebla,dz ALG,MF,Brest,fr Ligue 1,25,1994,20.2,36.2,41.8,86.5,698.2,154.8,0.64,1.68,38.2,26.3,28.9,91.3,9.21,11.3,81.6,0,0.03,-0.03,0.4,2.72,0.3,0.05,2.48,41.8,40.8,1.04,0.89,0,8.42,0.74,0.2,0,0,0,0,32.3,4.55,4.95,6.24,33.6,1.34,0.1,0.1,36.2,0,0.5,0.35,0.94,53.2,2.67,15.6,33.7,7.72,0.45,52.5,1.09,1.49,73.3,1.14,0,38.5,218.6,98.8,38.4,709,91.5,0.94,1.04
Harry Winks,eng ENG,MF,Tottenham,eng Premier League,23,1996,18.7,61.3,69.9,87.8,1175.7,305.1,0.91,1.5,60.7,46.3,50.1,92.5,14.1,18.3,77,0,0.05,-0.05,0.8,6.68,0.75,0.05,6.58,69.9,66.9,2.99,1.82,0.21,10.1,1.82,1.28,0.32,0.16,0.11,0,54.1,7.59,8.24,8.61,58.7,1.76,0.21,0.27,61.3,0.11,0.64,1.07,0.48,78,2.19,16.8,51.8,14.8,0.21,75.2,0.64,1.07,60,0.7,0,55.9,319.8,165,61,1103,96.7,0.53,0.59
Harvey Barnes,eng ENG,MF,Leicester City,eng Premier League,21,1997,19.9,23.3,30.8,75.5,340.9,90.5,0.7,2.11,33.3,20.6,25,82.3,2.01,3.72,54.1,0.3,0.12,0.18,1.36,1.51,1.91,0.1,4.12,30.8,30.7,0.1,0.05,0.1,8.04,0.3,1.81,0,0,0,0,21.4,5.08,4.32,4.57,24,0.85,0.05,0.4,23.3,0.15,0.45,1.01,1.41,43.3,0.65,4.57,17.3,25.2,6.08,43.2,1.66,3.52,47.1,1.96,3,33.7,274.1,189.8,47.1,692,73.9,1.96,1.81
Héctor Herrera,mx MEX,MF,Atlético Madrid,es La Liga,29,1990,11.1,50.8,59.5,85.3,865.7,323.2,1.17,2.25,52,40.9,45,91,8.74,12.3,70.8,0.18,0.14,0.04,1.8,6.13,0.99,0.18,7.75,59.5,55.7,3.87,2.34,0.09,8.65,0.99,2.7,1.17,0.36,0.54,0,41.7,8.2,9.64,7.84,46.8,2.88,0.09,0.54,50.8,0.09,0.45,0.81,1.17,72.1,2.25,12.1,45.8,19,1.08,68.6,1.26,1.44,87.5,1.26,1,48.3,260,132.2,53.5,532,89.6,1.08,1.17
Hernani,br BRA,MF,Parma,it Serie A,25,1994,22,28.8,38.2,75.4,638.5,185.9,0.59,1.73,34.2,19.3,22.4,86.4,8.91,14.1,63,0.14,0.05,0.08,0.95,3.05,0.59,0.18,5.09,38.2,33.9,4.36,2.05,0.05,6.5,3.23,4.09,2.27,1.05,0.55,0.32,23,5,10.3,4.41,31.5,1.32,0.05,0.14,28.8,0.18,0.91,0.73,1.27,51.5,3.27,14.5,25.9,14.7,1.09,47,1.59,2.14,74.5,1.68,2,30.9,192.5,101.6,31.8,637,91.1,1.09,1.09
Houssem Aouar,fr FRA,MF,Lyon,fr Ligue 1,21,1998,21.7,42,49.6,84.7,731.4,165.5,0.41,1.75,23.7,34.1,38,89.8,7.47,9.86,75.7,0.18,0.14,0.04,1.24,4.98,1.06,0,5.12,49.6,47.6,2.03,0.78,0.28,9.63,1.38,1.11,0.51,0.18,0.23,0,38.4,6.73,4.42,4.61,43.1,0.97,0.18,0.09,42,0,0.65,1.01,1.38,62.9,0.74,6.45,40.4,22.4,3.04,61.1,3,4.79,62.5,3.32,5,51.5,353.1,217.2,59.5,1100,85.2,2.07,2.67
Ibrahim Sangaré,ci CIV,MF,Toulouse,fr Ligue 1,21,1997,24.2,42.9,54.3,79.1,853.9,280.2,0.95,2.07,46,31.1,35.9,86.6,10.9,16.3,66.8,0.04,0.07,-0.03,0.99,5.12,0.62,0.04,6.24,54.3,52.4,1.82,1.16,0.17,11.6,1.53,0.91,0.08,0,0.08,0,36.3,8.1,9.83,3.14,47.4,2.15,0.54,0.21,42.9,0.08,0.87,1.65,0.99,66.8,4.13,18.8,40.9,11.4,1.2,65.2,1.53,2.15,71.2,1.57,1,45.1,258.7,136,45.2,1022,93.4,1.07,1.28
Ibrahima Diallo,fr FRA,MF,Brest,fr Ligue 1,20,1999,17.3,42.1,48.4,87,921.7,174.3,0.23,0.87,26.7,28,31.4,89,13.9,16.1,86.4,0.06,0.03,0.02,0.52,2.89,0.23,0,2.77,48.4,46.8,1.68,1.68,0.12,7.51,1.79,0.35,0,0,0,0,37.6,5.9,4.97,5.84,41.2,0.75,0,0.12,42.1,0.12,0.75,0.69,0.92,58.1,2.49,19.8,37.2,6.88,0.46,56.8,1.33,2.08,63.9,1.45,3,43.5,281.2,148.8,40.5,657,93.9,1.04,1.21
Ibrahima Sissoko,fr FRA,MF,Strasbourg,fr Ligue 1,21,1997,17.8,31.1,37.5,83.1,589.4,148.9,0.62,1.63,37.9,23.6,26.7,88.4,6.91,9.16,75.5,0.06,0.07,-0.02,0.79,2.92,0.62,0.28,3.43,37.5,36.6,0.9,0.45,0,10.2,1.24,1.07,0,0,0,0,25.6,6.35,5.56,5.17,29,1.35,0.39,0.17,31.1,0.06,0.84,0.56,1.12,49.9,1.91,11.3,29.2,13.1,1.35,49,0.84,1.52,55.6,0.96,1,34.1,228.4,125,36.7,565,86.4,1.52,1.52
Iddrisu Baba,gh GHA,MF,Mallorca,es La Liga,23,1996,25.5,31.9,39.5,80.9,597.7,167,0.63,1.53,41,24.1,28.4,85.1,7.18,9.57,75,0,0,0,0.2,3.02,0.2,0.04,3.33,39.5,38.6,0.82,0.78,0.04,10.2,0.51,0.08,0,0,0,0,29.3,4.67,5.49,2.27,32.9,2.31,0.04,0.24,31.9,0.04,0.51,0.75,0.94,50.6,3.33,16.6,32.2,5.27,0.45,50,1.36,1.63,83.7,1.4,1,35,208.9,90.9,30.7,765,94.3,0.72,1.29
Idrissa Gana Gueye,sn SEN,MF,Paris S-G,fr Ligue 1,29,1989,18.4,79.8,86.4,92.3,1314.3,350.8,0.98,2.28,42.9,67.2,71.3,94.4,11.6,12.9,89.9,0.11,0.16,-0.05,1.41,7.5,0.87,0.05,7.34,86.4,85.4,1.03,1.03,0.11,12.9,0.98,0.38,0,0,0,0,75.2,7.12,4.08,7.61,77,1.03,0,0.16,79.8,0.05,0.49,1.58,1.3,98.2,2.17,17.2,67.4,19.4,1.25,97.4,1.25,1.9,65.7,1.25,3,73.1,361.4,181.3,80.6,1423,96,0.71,1.09
İlkay Gündoğan,de GER,MF,Manchester City,eng Premier League,28,1990,18.7,78.4,86.6,90.6,1470.6,289.1,1.02,2.03,50,59.8,64.4,92.9,17.6,20.1,87.5,0.05,0.14,-0.09,1.82,7.43,1.71,0.05,7.43,86.6,83.7,2.83,1.12,0.48,17,1.98,1.55,1.18,0.48,0.21,0.11,66,11.6,9.04,23,60.4,2.09,0.27,0.11,78.4,0.11,0.64,1.12,1.02,94,2.03,11.8,58.2,29.9,2.25,91.1,0.86,1.12,76.2,0.91,0,66,294,143.7,78.5,1402,95.5,0.21,0.64
Isaac Hayden,eng ENG,MF,Newcastle Utd,eng Premier League,24,1995,22.8,24.7,33.1,74.7,426.1,102.9,0.39,1.93,20.5,19.9,24.4,81.3,4.47,6.75,66.2,0.09,0.07,0.02,0.66,1.67,0.57,0.31,2.37,33.1,31,2.11,0.61,0.13,8.11,0.53,1.62,0,0,0,0,21.5,4.61,6.97,4.17,24.4,2.15,0.53,0.22,24.7,0.09,0.61,0.61,1.49,43.8,1.89,12.3,22.1,11.1,1.22,42,1.3,1.89,68.9,1.43,1,26,111.1,54.4,28.7,576,84.2,1.05,1.26
Ismaël Bennacer,dz ALG,MF,Milan,it Serie A,21,1997,19,55.7,64.7,86.1,1024,321.6,0.95,1.89,50,43.5,47.6,91.4,11.2,15.2,74,0,0.05,-0.05,0.95,6.42,0.95,0.05,7.16,64.7,59.8,4.84,2.89,0,12.3,1.47,1.26,0.95,0.26,0.53,0.05,47.2,8.42,9.05,55.8,5.58,2.05,0.11,0.16,55.7,0.21,0.53,0.79,0.89,75.5,2.58,16.8,49.6,15.6,0.42,70.8,2.79,3.32,84.1,2.79,0,55.3,328.5,162.9,50.2,905,94.9,0.68,1.89
Ivan Radovanović,rs SRB,MF,Genoa,it Serie A,30,1988,14.6,47.2,54.6,86.4,1085.6,274.4,0.21,0.55,37.5,31.2,34,91.8,15.8,20,78.8,0.07,0.04,0.03,1.03,5.82,0.68,0.21,5.27,54.6,52.6,1.99,1.64,0.14,9.38,3.9,0.82,0.07,0,0,0,36.6,5.89,12.1,6.51,44.5,2.05,0.27,0.27,47.2,0.27,0.68,0.75,0.34,65.1,4.45,21,39.5,8.7,0.41,63.3,0.48,0.62,77.8,0.55,0,42.4,213.6,105,46,638,94.9,0.14,0.62
Ivan Rakitić,hr CRO,MF,Barcelona,es La Liga,31,1988,13.5,71.2,80.7,88.2,1205,267.4,2.52,3.78,66.7,56.9,62.5,91,11.8,14.4,82,0.22,0.07,0.15,0.81,6,1.11,0,4.81,80.7,76.7,4,1.63,0.44,10.4,1.78,1.56,1.63,0.89,0.15,0,59.8,11.6,9.26,8.3,68.1,2.59,0.74,0.44,71.2,0.07,0.59,1.41,1.56,91.2,3.11,17.5,52,26.7,1.93,87.6,0.52,1.04,50,0.67,2,65.3,278.4,139.7,78.4,972,91.9,0.81,0.96
Jack Cork,eng ENG,MF,Burnley,eng Premier League,30,1989,27.3,25.2,31.8,79.2,420.8,94.1,1.25,2.2,56.7,19.7,23.2,85.2,4.18,6.37,65.5,0,0.03,-0.03,0.37,2.05,0.26,0.04,2.12,31.8,31.5,0.26,0.11,0.11,8.17,0.95,0.22,0,0,0,0,20.2,4.76,6.78,3.59,24.7,1.87,0.15,0.11,25.2,0.22,0.48,0.33,0.51,42.3,2.34,7.58,27.1,9.96,1.14,42,0.88,1.17,75,0.88,1,25.6,133.7,56.3,27,624,84.8,0.88,1.5
Jacopo Petriccione,it ITA,MF,Lecce,it Serie A,24,1995,17.2,42.3,49.2,85.8,872.6,242.7,0.76,0.93,81.3,28.8,32.2,89.4,12.7,16.1,79.1,0.23,0.09,0.14,1.8,3.02,1.45,0.47,5.23,49.2,44.1,5.12,2.5,0,8.02,2.79,2.73,2.21,0.06,0.41,0.06,31.8,7.03,10.4,4.3,43,1.34,0.29,0.12,42.3,0.17,0.41,0.81,0.23,58.3,3.26,17.5,28.7,16.2,0.87,53.7,0.76,1.34,56.5,0.99,0,39.7,226.6,125,41.6,668,93.3,0.35,1.22
Jakub Jankto,cz CZE,MF,Sampdoria,it Serie A,23,1996,15,23.1,33.2,69.5,394.3,120.7,0.2,1.47,13.6,19.5,23.5,83,3.4,8.27,41.1,0.13,0.17,-0.04,2,1.53,0.87,0.33,2.93,33.2,31.2,2,0.33,0.07,6,0.67,4.13,0.87,0.33,0.33,0.2,18.3,6.53,8.33,25.7,5,1.4,0.8,0.13,23.1,0.13,0.4,0.93,1.67,43.5,1.47,7.88,18.9,20.6,2.76,41.6,0.45,0.83,53.8,0.45,0,28.3,188.8,109.6,36.2,443,78.5,0.96,0.71
James Lea Siliki,fr FRA,MF,Rennes,fr Ligue 1,23,1996,12,27,35.8,75.3,500,107.1,0.75,1.5,50,20.7,24.4,84.6,5.58,9.92,56.3,0,0.07,-0.07,0.67,2.25,0.42,0.17,2.67,35.8,34.1,1.75,1.58,0.17,6.75,1.33,1.75,0,0,0,0,22.6,7.75,5.5,24.8,8.75,1.58,0.17,0.17,27,0.08,1,0.58,0.92,47.8,2.17,11.2,29.1,10.6,1.67,46.7,0.75,1.33,56.3,0.92,0,32.1,193.5,116.9,34.6,373,89.9,1.25,1.83
James Maddison,eng ENG,MF,Leicester City,eng Premier League,22,1996,28.7,43.4,56.9,76.3,879.6,265.9,0.73,1.92,38.2,30.2,34.9,86.4,12.5,20,62.3,0.1,0.24,-0.14,2.89,5.23,1.5,0.21,8.12,56.9,48.1,8.78,2.86,0.56,9.13,3.24,7.67,5.47,1.5,2.68,0.49,35.4,8.57,12.9,5.47,49.5,1.08,0.24,0.38,43.4,0.28,1.01,1.25,1.29,68.4,0.66,7.28,35.3,29.8,2.82,60.4,1.81,2.75,65.8,1.88,6,49.2,262.2,121.6,56.1,1399,86.9,1.6,1.64
James McArthur,sco SCO,MF,Crystal Palace,eng Premier League,31,1987,27.9,32.3,41.1,78.5,558.1,176.1,0.97,2.33,41.5,25.5,29.9,85.3,5.81,8.89,65.3,0.11,0.08,0.03,0.93,3.51,0.65,0,4.01,41.1,39.1,2.01,0.14,0.11,11.1,0.47,0.97,0.04,0,0,0,27.3,6.42,7.35,9.61,27.7,1.76,0.93,0.18,32.3,0.11,1.08,0.75,1.61,54.8,3.36,14.1,29.4,14.2,2.59,52.9,0.94,1.43,65.9,0.98,1,35.1,186.3,89.7,37.1,926,87.2,1.19,1.29
James McCarthy,ie IRL,MF,Crystal Palace,eng Premier League,28,1990,13.4,30.4,40,75.9,574.6,185.1,1.94,3.06,63.4,21.6,25.3,85.5,6.79,11.6,58.3,0,0.05,-0.05,1.04,2.91,0.45,0,4.4,40,36.5,3.51,1.94,0,7.91,2.16,1.72,1.04,0.6,0.3,0.15,21.9,7.09,11,11.1,25.1,2.39,0.3,0.6,30.4,0.22,1.42,0.67,1.34,50.1,2.22,13,29,10.1,0.97,46.9,0.42,0.76,54.5,0.63,2,24.7,121.7,41.6,28.9,354,85.1,0.63,0.69
Jasmin Kurtić,si SVN,MF,SPAL,it Serie A,30,1989,15.7,32.7,43.2,75.6,602,166.5,0.83,2.17,38.2,24.5,29.2,84.1,7.32,11.9,61.5,0,0.13,-0.13,1.53,3.12,1.66,0.83,5.48,43.2,41.1,2.17,1.15,0.13,9.17,2.29,5.22,0.57,0.25,0.32,0,26.1,7.39,9.81,6.82,31.8,2.74,0.45,0.32,32.7,0.13,1.66,0.51,1.46,56.1,2.17,9.49,30.1,22,2.04,53.9,1.72,2.48,69.2,1.85,2,40.2,304.6,185.1,49.4,661,85.3,0.96,1.78
Jason,es ESP,MF,Getafe,es La Liga,25,1994,10,17.6,30.9,57,311.4,127,0.5,2.5,20,13.6,18.7,72.7,3.5,9.7,36.1,0.4,0.15,0.25,2,2,1.2,0.7,4.3,30.9,26,4.9,1.8,0,4.9,2,6.3,2.9,0.7,1.4,0,13.9,5.8,11.2,2.7,24.2,2.1,0.2,0.5,17.6,0.5,0.9,0.5,2.5,45.7,1.1,5.6,18.8,23.4,2,40.7,1.5,4.1,36.6,1.6,0,27.5,163.2,81.8,32.7,248,75.8,2.1,1.8
Jean-Paul Boëtius,nl NED,MF,Mainz 05,de Bundesliga,25,1994,25.2,27.7,36.5,76,517.9,167.9,0.79,2.14,37,20.7,25.1,82.3,6.23,9.21,67.7,0.2,0.13,0.06,1.43,3.73,0.91,0.04,5.12,36.5,35.2,1.27,0.44,0.2,8.17,1.27,0.6,0,0,0,0,23.8,7.62,5.04,5.75,28.5,1.23,0.28,0.28,27.7,0.24,0.71,1.07,1.35,51.1,0.75,7.7,29.4,18,2.14,50,1.71,2.62,65.2,1.83,0,37.2,231.9,133.5,41.2,831,80.1,2.46,2.1
Jean-Ricner Bellegarde,fr FRA,MF,Strasbourg,fr Ligue 1,21,1998,16.6,36.4,42.2,86.3,743.7,130.4,0.54,1.27,42.9,25.3,28.3,89.6,10.5,12.7,83.3,0,0.08,-0.08,1.2,3.07,0.66,0.12,3.13,42.2,40.3,1.87,1.08,0.06,7.83,1.93,1.99,0.66,0.12,0.3,0.12,30.1,5.96,6.14,8.19,31.5,1.87,0.12,0.3,36.4,0.06,0.72,0.54,0.84,55.4,1.27,11.1,34.6,15.1,1.51,54,1.93,3.01,64,2.11,0,40.9,279.9,144.2,43.2,619,86.3,2.05,2.17
Jeff Hendrick,ie IRL,MF,Burnley,eng Premier League,27,1992,21.5,19.5,26.7,73,320,79.6,0.42,2.09,20,16,18.9,84.7,3.12,5.77,54,0.09,0.04,0.06,0.56,1.16,0.47,0.09,2.23,26.7,25.5,1.26,0.14,0,6.28,0.56,1.44,0.28,0.28,0,0,17.2,3.67,5.86,2.79,21.4,1.35,0.33,0.28,19.5,0.23,0.7,0.51,1.86,36.3,1.86,7.02,17.9,13.1,1.91,35,1.16,2.23,52.1,1.26,0,24,129,60,28,471,78.1,0.88,1.63
Jefferson Lerma,co COL,MF,Bournemouth,eng Premier League,24,1994,22.6,38.7,48.2,80.3,775.6,226.6,0.66,1.5,44.1,28.4,32.8,86.6,9.65,13.9,69.2,0.09,0.07,0.02,0.4,4.12,0.58,0,4.51,48.2,46.9,1.28,1.06,0,10.5,1.37,0.22,0,0,0,0,28.8,8.58,10.8,5,38,3.81,0.22,0,38.7,0.09,1.11,0.84,0.84,58.6,3.86,17.3,34.2,9.53,0.39,57.6,0.86,1.16,74.1,0.94,1,35.6,172.2,72,36.2,784,92.9,0.73,0.64
Joan Jordán,es ESP,MF,Sevilla,es La Liga,25,1994,20.2,59.4,69.7,85.2,1202.7,280.5,0.89,2.03,43.9,43.2,47.9,90.1,15.3,19.7,77.6,0.1,0.13,-0.03,1.49,5.35,1.14,0.5,6.88,69.7,64.1,5.54,2.23,0.15,11.7,5.4,4.16,2.82,0.74,1.09,0.25,45.6,10.9,13.1,7.13,58.5,2.77,0.35,0.15,59.4,0.15,0.94,0.89,1.24,79.7,1.53,14.1,46.7,22.5,1.83,74.2,1.53,1.88,81.6,1.58,0,55.5,245,110.4,61.2,1146,92.6,1.19,0.79
