Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xA,A-xA,KP,Last_Third,PPA,CrsPA,Prog,Att,Pass_Types_Live,Pass_Types_Dead,Pass_Types_FK,Pass_Types_TB,Pass_Types_Press,Pass_Types_Sw,Pass_Types_Crs,Pass_Types_CK,Corner_Kicks_In,Corner_Kicks_Out,Corner_Kicks_Str,Height_Ground,Height_Low,Height_High,Body_Parts_Left,Body_Parts_Right,Body_Parts_Head,Body_Parts_TI,Body_Parts_Other,Outcomes_Cmp,Outcomes_Off,Outcomes_Out,Outcomes_Int,Outcomes_Blocks,Touches_Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Touches_Live,Dribbles_Succ,Dribbles_Att,Dribbles_Succ%,Dribbles_#Pl,Dribbles_Megs,Carries_Carries,Carries_TotDist,Carries_PrgDist,Receiving_Targ,Receiving_Rec,Receiving_Rec_Pct,Miscon,Dispos
Dwight McNeil,eng ENG,MF,Burnley,eng Premier League,19,1999,29.1,21.7,32.3,67.2,419,143.1,0.48,2.2,21.9,16,19.5,82.3,5.22,10.7,49,0.17,0.19,-0.02,1.48,2.27,0.96,0.69,3.81,32.3,28.8,3.51,1.55,0.1,8.25,2.82,6.7,1.65,1.48,0.03,0.07,18.5,3.95,9.9,28.9,1.31,1.07,0.27,0.1,21.7,0.27,0.62,0.58,1.86,43.6,1.17,7.42,21.8,19.5,1.27,40.1,2.37,4.02,59,2.47,6,32.8,291.6,148.4,31.2,744,81.8,1.03,2.27
Eddy Gnahoré,fr FRA,MF,Amiens,fr Ligue 1,25,1993,12.6,52.8,57.6,91.6,932.9,197.5,1.03,1.83,56.5,42.2,44.6,94.7,9.52,11.2,85.1,0,0.04,-0.04,0.48,3.97,0.16,0,3.65,57.6,55.1,2.54,2.22,0.08,11.1,1.11,0.4,0,0,0,0,46.8,5.87,4.92,2.94,52.1,1.43,0.24,0.4,52.8,0.08,0.4,0.32,0.79,69.4,3.33,16.2,46.1,11.4,0.95,67,0.48,0.56,85.7,0.48,0,49.4,269,124.4,50.4,585,92.1,1.03,2.14
Edu Expósito,es ESP,MF,Eibar,es La Liga,22,1996,19.6,29.9,35.8,83.5,590.1,132.8,0.26,0.97,26.3,22,25.3,86.9,7.65,9.54,80.2,0.05,0.06,-0.01,0.77,3.67,0.51,0.1,3.06,35.8,35,0.82,0.51,0.05,6.94,1.33,0.66,0,0,0,0,24.4,5.41,5.97,5.31,26.7,2.6,0.1,0.1,29.9,0.1,0.61,0.46,0.87,44.9,1.07,7.35,28.3,12.2,0.87,44.3,1.17,1.63,71.9,1.17,0,30.1,154.9,72.3,28.9,503,88.9,1.07,0.77
Eduardo Camavinga,fr FRA,MF,Rennes,fr Ligue 1,16,2002,23.4,37.6,42.1,89.2,785,128.6,0.43,0.94,45.5,26.4,29.3,90.1,10.8,11.9,90.6,0.09,0.03,0.05,0.34,2.39,0.26,0.04,2.48,42.1,40.8,1.28,1.24,0.09,9.27,1.67,0.04,0,0,0,0,30.9,5.34,5.85,34.2,4.15,2.35,0.04,0.26,37.6,0.13,0.51,0.56,0.47,55.5,2.65,15.6,38.4,6.67,0.47,54.4,0.6,0.77,77.8,0.6,0,36.1,255.3,133.1,38.5,819,90.8,1.03,1.24
Ellyes Skhiri,tn TUN,MF,Köln,de Bundesliga,24,1995,28.7,39.8,46.9,84.9,746.4,182.1,1.08,1.78,60.8,29.9,34.3,87.2,8.85,10.9,81.4,0.1,0.08,0.02,0.63,2.82,0.77,0.03,4.43,46.9,45.1,1.85,1.6,0.1,10.2,0.94,0.21,0,0,0,0,31.7,7.49,7.74,4.46,38.1,2.82,0.24,0.21,39.8,0.24,0.42,0.63,0.56,58.6,2.61,17.4,33.9,10.8,1.22,56.8,1.05,1.32,78.9,1.08,1,35.6,204.9,100.1,37.5,981,91.2,0.94,1.29
Emil Forsberg,se SWE,MF,RB Leipzig,de Bundesliga,27,1991,11.7,34.4,43.1,80,560.9,167.4,1.28,3.5,36.6,27.8,31.4,88.6,5.38,8.21,65.6,0.17,0.24,-0.07,2.31,3.25,0.77,0.09,4.96,43.1,40.7,2.39,0.43,0.34,9.74,1.03,2.05,1.54,0.6,0.68,0.09,31.8,5.81,5.47,4.79,36.4,0.51,0.17,0.77,34.4,0.34,0.6,0.68,1.71,53.8,0.6,5.64,30.3,22.5,3.08,51.3,1.79,2.05,87.5,1.79,1,42.2,261.8,137.3,51,476,79.7,1.79,1.54
Enis Bardhi,mk MKD,MF,Levante,es La Liga,24,1995,19.1,27,37,72.9,440.1,145.7,1.26,2.88,43.6,21.5,26,82.5,4.24,8.06,52.6,0.1,0.08,0.03,1.15,2.77,0.89,0.16,4.76,37,33.7,3.25,0.79,0.16,6.75,1.15,2.88,1.88,0.89,0.16,0.21,25,4.92,7.07,6.02,29,1.52,0.31,0.1,27,0.16,1.1,0.79,1.73,48.7,1.26,8.59,24.1,18.8,2.3,45.3,1.57,2.41,65.2,1.62,0,35.5,194.3,112.3,42.7,639,78.4,2.41,1.1
Erick Pulgar,cl CHI,MF,Fiorentina,it Serie A,25,1994,24.2,41.4,52.2,79.3,837.9,258,1.4,2.6,54,28.3,31.3,90.5,11.7,18.3,63.7,0.17,0.21,-0.05,2.77,3.76,0.87,0.25,7.02,52.2,41.9,10.3,3.8,0.08,7.81,3.72,7.77,5.7,2.07,2.44,0.58,30.7,7.4,14.1,3.47,45.7,1.86,0.21,0.21,41.4,0.12,0.83,0.62,1.24,63.4,2.85,12.4,33.7,19.7,0.79,52.9,0.41,0.74,55.6,0.5,0,33.2,144.8,64.8,35.4,781,91.2,0.66,0.99
Étienne Capoue,fr FRA,MF,Watford,eng Premier League,31,1988,24.6,40.7,49.8,81.8,836.4,217.4,0.69,1.38,50,29.4,33.7,87.3,10.6,14.7,72.1,0.08,0.09,-0.01,0.57,4.67,0.33,0.04,4.47,49.8,47.7,2.03,0.81,0.16,6.63,2.32,0.49,0.16,0.12,0.04,0,30.2,8.58,11,7.6,37.3,3.41,0.08,0.33,40.7,0.12,0.57,0.53,0.69,61.5,3.46,16.3,40.2,7.36,0.49,59.6,1.1,1.54,71.1,1.14,1,37.2,155.2,70.3,37.9,881,94.4,0.28,1.1
Éver Banega,ar ARG,MF,Sevilla,es La Liga,31,1988,22.9,68,82.3,82.6,1484.2,440.3,0.74,2.23,33.3,46.6,51.8,90,20.7,28.3,73,0.26,0.18,0.08,2.1,9.21,1.18,0.22,10.8,82.3,73.2,9.08,4.37,0.39,12.1,6.64,5.85,4.32,1.48,2.05,0,53.8,11.4,17.1,7.51,72.2,1.57,0.39,0.22,68,0.52,1.57,1.4,1.97,91.7,0.87,15.4,57.2,25.6,1.31,83.2,1.53,2.31,66,1.62,0,68.7,363.8,198.8,75.1,1603,93.3,1.66,1.57
